description,cleaned_description,merchant_cluster_id,suggested_category_v1,category_confidence_v1
"Temu.com, London","TEMU.COM, LONDON",-1,Groceries,0.17
"Disclosure &amp; Barring, Liverpool","DISCLOSURE AND BARRING, LIVERPOOL",-1,Entertainment,0.2
"Paypal *Economist The, 353143690","ECONOMIST THE,",-1,Groceries,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Payment, Thank You","PAYMENT, THANK YOU",1,Unknown,0.27
"Www.Theselfstoragecompan, Hemel","THESELFSTORAGECOMPAN, HEMEL",-1,Shopping,0.31
"Www.Theselfstoragecompan, Hemel","THESELFSTORAGECOMPAN, HEMEL",-1,Shopping,0.31
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Unknown,0.33
"McDonalds, Stonehouse","MCDONALDS, STONEHOUSE",-1,Dining,1.0
